"","profile pic","nums/length username","fullname words","nums/length fullname","name==username","description length","external URL","private","#posts","#followers","#follows","fake"
"1","1","Medio","Corto","Bajo","0","Medio","0","0","Medio","Alto","Alto","0"
"2","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Medio-Alto","0"
"3","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Bajo","0"
"4","1","Bajo","Corto","Bajo","0","Medio","0","0","Alto","Medio-Alto","Alto","0"
"5","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Bajo","0"
"6","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Medio-Bajo","0"
"7","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Bajo","Medio-Bajo","0"
"8","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Alto","Medio-Bajo","0"
"9","1","Bajo","Corto","Bajo","0","Medio","0","0","Medio","Alto","Alto","0"
"10","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Alto","0"
"11","1","Bajo","Medio","Bajo","0","Medio","0","0","Alto","Alto","Alto","0"
"12","1","Bajo","Medio","Bajo","0","Medio","1","0","Medio","Alto","Medio-Alto","0"
"13","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Medio-Alto","0"
"14","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Medio-Alto","0"
"15","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Alto","0"
"16","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"17","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Alto","Medio-Alto","0"
"18","1","Medio","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"19","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Alto","0"
"20","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Alto","0"
"21","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"22","1","Bajo","Corto","Bajo","0","Corto","1","1","Medio","Alto","Medio-Alto","0"
"23","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Alto","0"
"24","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"25","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Medio-Bajo","0"
"26","1","Bajo","Corto","Bajo","0","Largo","1","1","Medio","Medio-Bajo","Medio-Bajo","0"
"27","1","Bajo","Largo","Bajo","0","Corto","0","1","Medio","Medio-Alto","Alto","0"
"28","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Medio-Bajo","0"
"29","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Medio-Bajo","0"
"30","1","Bajo","Medio","Bajo","0","Largo","0","1","Medio","Medio-Alto","Medio-Bajo","0"
"31","1","Bajo","Medio","Bajo","0","Largo","0","1","Alto","Medio-Alto","Alto","0"
"32","1","Medio","Corto","Bajo","0","Corto","0","1","Medio","Alto","Alto","0"
"33","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Bajo","0"
"34","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"35","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Alto","0"
"36","1","Medio","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
